Date,High,Low,Close
2015-03-02,31.30083111081129,30.838290552639968,30.859973907470703
2015-03-03,30.903335633556416,30.607022177250624,30.82383918762207
2015-03-04,30.874423769756483,30.48415652664676,30.628700256347656
2015-03-05,31.040644843117786,30.74433146888769,30.831056594848633
2015-03-06,30.29625246349156,29.85539803290253,29.920442581176758
2015-03-09,30.11556435598492,29.775889823955207,29.963794708251953
2015-03-10,30.10111545321318,29.739757537841797,29.739757537841797
2015-03-11,30.289027465173195,29.75421641184557,30.15171241760254
2015-03-12,30.809380864387556,30.274569863192863,30.758790969848633
2015-03-13,31.25745517191614,30.549194090761215,30.679283142089844
2015-03-16,31.466502965840757,30.934408137600393,31.19681167602539
2015-03-17,31.28428284157734,30.978147192211523,31.18223762512207
2015-03-18,31.801802065002835,31.051035669890844,31.70704460144043
2015-03-19,31.94027912378477,31.466494771615764,31.838233947753906
2015-03-20,32.39950497630694,31.845541138912967,32.355770111083984
2015-03-23,32.72020394801361,32.28286661879399,32.603580474853516
2015-03-24,32.77123557391343,32.34847640991211,32.34847640991211
2015-03-25,32.48695141284515,31.78721069426353,31.794498443603516
2015-03-26,31.750776728141275,31.28427998328729,31.39361572265625
2015-03-27,31.524802356320016,31.26968946102103,31.371734619140625
2015-03-30,32.064204327427696,31.276993641734887,32.042335510253906
2015-03-31,32.13708142565905,31.67058760786992,31.75076675415039
2015-04-01,31.932988408354777,31.437338073221618,31.626850128173828
2015-04-02,31.838239199266347,31.583126217109953,31.77263832092285
2015-04-06,32.42135423381619,31.78721430926664,32.3411750793457
2015-04-07,32.35575991626559,31.59041808941899,31.597705841064453
2015-04-08,31.84553414009041,31.61957767074168,31.70704460144043
2015-04-09,31.67788109344227,30.825072449720125,30.88338279724121
2015-04-10,31.313439500869343,30.88338981564386,30.97085952758789
2015-04-13,31.18222552145949,30.905246550170958,30.927112579345703
2015-04-14,31.40819752830404,31.036460977710032,31.22597312927246
2015-04-15,31.40089778583129,31.116625496247078,31.16036033630371
2015-04-16,31.553971450136565,30.956275760314497,31.320724487304688
2015-04-17,31.37174470363629,30.95627340886862,31.2551212310791
2015-04-20,31.71431848444852,31.102044676270193,31.379026412963867
2015-04-21,31.67058537169961,30.98542019224223,31.167644500732422
2015-04-22,31.262413419145187,30.766762895291812,30.8760986328125
2015-04-23,31.262419696322716,30.861526545790426,31.02188491821289
2015-04-24,31.262419696322716,30.985437811372243,31.02188491821289
2015-04-27,31.28427413663039,30.890671665613112,30.941694259643555
2015-04-28,30.905249830383216,30.693868924183434,30.781335830688477
2015-04-29,30.606402202046574,29.928527416372706,29.943105697631836
2015-04-30,29.943106281810316,29.148608011085905,29.30167579650879
2015-05-01,29.666133168275913,29.287106078880168,29.462039947509766
2015-05-04,29.753606509190174,29.30897842818929,29.425601959228516
2015-05-05,29.432881295097673,28.762294161379444,28.798738479614258
2015-05-06,29.046555877980456,28.674819483719098,28.87162208557129
2015-05-07,29.40373036177061,28.806034530532525,29.323551177978516
2015-05-08,30.205500423415252,29.658827497056603,29.70256233215332
2015-05-11,29.746311925898883,29.418307451239635,29.47661781311035
2015-05-12,29.491186080784452,28.9590913495406,29.411006927490234
2015-05-13,29.68798755785154,28.988246796847637,29.09029197692871
2015-05-14,29.60780649143112,29.214204076666878,29.352693557739258
2015-05-15,29.746299491920823,29.418295154367662,29.687986373901367
2015-05-18,29.658833526795892,29.447455398826946,29.578657150268555
2015-05-19,29.76087872256436,29.425583844281704,29.556785583496094
2015-05-20,29.884786640939534,29.37455802023367,29.70256233215332
2015-05-21,29.74630328778232,29.279806625665582,29.396432876586914
2015-05-22,29.56406698350916,29.243350484243756,29.359973907470703
2015-05-26,29.33811826382484,29.046558212347925,29.119449615478516
2015-05-27,29.54951602500261,29.10488794400173,29.425601959228516
2015-05-28,29.49118751901329,29.192339702493253,29.345407485961914
2015-05-29,29.425591003946174,28.791450963796414,28.857051849365234
