Date,High,Low,Close
2015-03-02,152.04879988290728,149.7433276690943,151.96646118164062
2015-03-03,151.53981648233926,149.27925387367884,149.6535186767578
2015-03-04,149.7658048424275,148.79271407092443,148.9349365234375
2015-03-05,149.7283688383671,148.77025190336335,149.03224182128906
2015-03-06,148.68791675937985,147.2432601383341,147.95436096191406
2015-03-09,150.07270396399787,147.61752778403374,149.5113067626953
2015-03-10,148.94234555106564,147.69230308604676,147.8944091796875
2015-03-11,148.51577175481557,147.39297727106762,147.61753845214844
2015-03-12,148.91992746521132,147.86449823018782,148.7926788330078
2015-03-13,148.9648651844568,146.41238803857294,147.54266357421875
2015-03-16,151.42753128082413,148.28370943373997,151.28530883789062
2015-03-17,151.20294296093203,149.72833908862046,150.2073974609375
2015-03-18,152.3182598364391,148.4783001548385,151.65206909179688
2015-03-19,152.22093179314626,150.48433818771957,151.34515380859375
2015-03-20,152.7299878524052,150.95597620092124,152.52789306640625
2015-03-23,153.1415982774101,151.8915557861328,151.8915557861328
2015-03-24,152.97696122786544,150.41699185961193,152.17604064941406
2015-03-25,152.70004059656637,148.95739254272894,148.9723663330078
2015-03-26,150.54425099095212,146.90639712528036,150.1250762939453
2015-03-27,151.85416520055622,149.88554052241443,151.37510681152344
2015-03-30,154.33934765221764,151.9515359737366,153.3662567138672
2015-03-31,153.57587551317067,151.921630859375,151.921630859375
2015-04-01,151.55477480059727,147.7821795745712,148.77772521972656
2015-04-02,149.37654953265766,147.96182919341925,148.74778747558594
2015-04-06,150.5442144000398,148.09653172744848,150.1025848388672
2015-04-07,151.61466938122717,149.63105913249598,149.8181915283203
2015-04-08,151.12062332982416,149.4289507376822,150.3122100830078
2015-04-09,151.13563861774333,149.92301270372312,150.78382873535156
2015-04-10,151.34523047022327,149.91553592078736,150.00535583496094
2015-04-13,150.5517434596307,147.32558311060117,147.49774169921875
2015-04-14,148.03670215840285,146.9737914972288,147.71482849121094
2015-04-15,149.30173017777034,147.4902783595996,147.61753845214844
2015-04-16,148.23881685225578,146.46480511711147,147.5501708984375
2015-04-17,147.04115124140887,145.16982730771483,145.8285369873047
2015-04-20,147.9468204828902,145.96322228713584,147.31057739257812
2015-04-21,148.4633205841515,146.04557378553736,146.9288330078125
2015-04-22,148.2761713416396,146.1204146510017,147.93185424804688
2015-04-23,148.90503028329297,146.74927218763105,147.61007690429688
2015-04-24,147.63999259018786,145.96328205884393,146.240234375
2015-04-27,147.14596133375218,144.86294359572466,145.09498596191406
2015-04-28,145.41683819717258,143.41077307328462,145.22970581054688
2015-04-29,145.26715648155493,142.91676238625868,143.1862335205078
2015-04-30,143.31348299407824,138.96451640105104,139.67562866210938
2015-05-01,141.5843665439798,139.82532887085753,141.4720916748047
2015-05-04,142.85685282797365,141.58434360136195,141.98855590820312
2015-05-05,142.14574050572685,140.05734832873955,140.23699951171875
2015-05-06,141.52447319584005,139.15911731572913,139.84776306152344
2015-05-07,141.43471839941358,139.4810549577122,140.8808135986328
2015-05-08,142.99906970929604,141.83136552447877,142.57989501953125
2015-05-11,143.10388309023298,141.87629500614767,142.5724334716797
2015-05-12,143.20118396800447,141.1352465566413,142.67721557617188
2015-05-13,143.71019510869473,142.82692428388637,142.96914672851562
2015-05-14,144.72817745812895,143.32093840091287,144.5036163330078
2015-05-15,145.07250234478613,143.79252328023148,143.9871368408203
2015-05-18,144.93774017544249,143.98710471284954,144.5260467529297
2015-05-19,145.44681383030237,144.3988767494318,144.7506866455078
2015-05-20,145.13990583046453,144.0620326450032,144.6533660888672
2015-05-21,145.16983441379364,144.10692373802442,144.54855346679688
2015-05-22,144.73565388250222,143.83742083320246,144.36138916015625
2015-05-26,144.22667909125036,142.32541891635805,142.6023712158203
