Date,High,Low,Close
2015-03-02,111.91004739177569,110.353773445357,111.86052703857422
2015-03-03,111.9100650690816,110.25476182310909,110.396240234375
2015-03-04,110.84893247632057,109.24313848329497,109.46243286132812
2015-03-05,109.68878822447512,109.08042548967302,109.54730987548828
2015-03-06,109.08751171488632,107.74346152153328,107.95567321777344
2015-03-09,109.11579840565766,108.21032534882188,108.86113739013672
2015-03-10,108.05470778359076,107.01482735809492,107.59489440917969
2015-03-11,108.08301423021715,107.02192069831337,107.02899169921875
2015-03-12,108.56402762678934,107.52415889069205,108.43669128417969
2015-03-13,108.33058701906151,106.90163831126134,107.52415466308594
2015-03-16,108.54282549332879,107.48880286997066,107.96984100341797
2015-03-17,108.40131793659,107.08556359617083,107.97688293457031
2015-03-18,110.20522906843107,106.35699337812468,109.4200210571289
2015-03-19,108.96020424399047,107.22708520177103,107.6939697265625
2015-03-20,108.69135167482126,106.78137676162403,108.02639770507812
2015-03-23,108.3730439169756,107.44635772705078,107.44635772705078
2015-03-24,108.09010861951884,107.26953395570814,107.65151977539062
2015-03-25,108.67017042689427,106.55505401195637,106.57627868652344
2015-03-26,107.49587965452997,105.33831417862453,106.9299545288086
2015-03-27,108.35180143655737,106.36402202219185,108.05470275878906
2015-03-30,109.91084701286059,108.81565031978755,109.37747192382812
2015-03-31,109.59794047190505,107.49999522881775,107.58533477783203
2015-04-01,107.96934934055967,106.20565391190448,106.73902893066406
2015-04-02,107.89829842837389,106.3906207696494,107.4146957397461
2015-04-06,108.47431156242583,107.11598729494509,108.1613998413086
2015-04-07,109.12149389975136,107.47158368472361,107.5142593383789
2015-04-08,108.2609699418128,106.83152349013453,107.36489868164062
2015-04-09,108.23961957174706,107.04485411983944,108.13294219970703
2015-04-10,108.46010887538296,107.37912923441331,108.04051971435547
2015-04-13,108.45297262367566,107.05909315304272,107.08753967285156
2015-04-14,108.38186334210614,107.03775646895076,107.98361206054688
2015-04-15,109.4699569417282,108.0689569591451,108.3463134765625
2015-04-16,108.09737934052845,107.20841694376482,107.80579376220703
2015-04-17,107.66354831373125,105.70072727158161,106.56835174560547
2015-04-20,107.80581064938598,106.57548987793247,107.64936065673828
2015-04-21,108.3747329441231,107.43598623789532,108.04759216308594
2015-04-22,108.18270834986988,106.93105007403763,107.72044372558594
2015-04-23,107.73468172688814,106.69637807368665,107.10173797607422
2015-04-24,107.44306959542335,106.22697845832946,106.71768951416016
2015-04-27,108.22538888298034,105.74342149738558,107.42888641357422
2015-04-28,109.22104014151435,106.53993512719134,108.78011322021484
2015-04-29,108.80145049763766,107.64936058850009,108.00493621826172
2015-04-30,109.05747749809937,101.17774404484925,102.00269317626953
2015-05-01,105.18159771942935,102.05957790486899,104.257080078125
2015-05-04,106.02076778058269,104.61976816666578,104.95401763916016
2015-05-05,105.95678191180254,103.09078021387032,103.41081237792969
2015-05-06,104.6340117984387,102.91299140270769,103.51036834716797
2015-05-07,104.23574766096439,102.68540658321398,103.96549987792969
2015-05-08,105.97811777742615,104.96115172221243,105.23139953613281
2015-05-11,105.45181342318284,103.80191580255516,103.83747100830078
2015-05-12,103.63837504792072,102.51473168891239,102.7494125366211
2015-05-13,103.86594908771823,102.1449288019975,103.08366394042969
2015-05-14,105.06072140542888,102.99833102403828,104.98249053955078
2015-05-15,105.93545922035382,104.66958311049652,105.59410095214844
2015-05-18,105.67228824782657,104.79044632069362,105.20292663574219
2015-05-19,106.22702781627035,104.64824003970845,104.90425872802734
2015-05-20,105.25985126813976,104.40644386802394,104.62690734863281
2015-05-21,105.54432272419204,104.2500000169477,105.2456283569336
2015-05-22,105.30250080767486,104.09351790890739,104.37798309326172
2015-05-26,104.12906936310225,103.33256687568034,103.85883331298828
2015-05-27,105.28829422445452,103.51036904390243,104.92559814453125
2015-05-28,105.47315882119585,104.43485524072591,105.39492797851562
2015-05-29,105.54428472922386,104.12194731074699,104.37085723876953
2015-06-01,105.32382931783141,104.03661567453365,104.86156463623047
2015-06-02,105.78611866197059,104.02242233761713,105.35942077636719
2015-06-03,106.0278972700403,105.259841240577,105.49452209472656
2015-06-04,104.69088235381884,102.88452278258826,103.78059387207031
2015-06-05,103.80906428192705,102.82765342137964,103.53170776367188
2015-06-08,103.66680939475692,102.77784698783442,102.79207611083984
2015-06-09,103.53166916431695,102.16622490594787,102.71382904052734
2015-06-10,104.07932830445588,103.07657946397748,103.7877426147461
2015-06-11,104.89004613236031,103.8161868656022,103.97264862060547
2015-06-12,104.11485906463037,102.90587612714536,103.08366394042969
2015-06-15,103.2401170827117,101.79644168269733,102.50049591064453
2015-06-16,103.90862599563931,102.55030159435285,103.62416076660156
2015-06-17,104.37799941797405,103.27569372356969,103.95130157470703
2015-06-18,105.04649809875073,104.26421285768242,104.49889373779297
2015-06-19,104.61977417974771,103.17609884654763,103.2401123046875
2015-06-22,104.25709957610229,103.211686978127,103.72372436523438
2015-06-23,104.2428709071478,102.841870918943,103.02677917480469
2015-06-24,102.65695125778984,101.65420279840431,102.20891571044922
2015-06-25,102.96987224255129,101.11372815861964,101.57598114013672
2015-06-26,102.13068289375416,100.61589718959146,101.04259490966797
2015-06-29,100.9210266444727,97.91700415428475,98.08151245117188
2015-06-30,99.0113248508541,97.76679441724349,97.86692810058594
2015-07-01,99.19012971569963,98.01712926811854,99.07569122314453
2015-07-02,99.69794966816528,97.39486329567141,98.26030731201172
2015-07-06,98.11726195981254,96.91565190120821,97.3519515991211
2015-07-07,98.17447909123659,96.50081029164613,97.9312973022461
2015-07-08,97.29475845153365,95.08464974628465,95.12041473388672
2015-07-09,96.7797437187575,94.56964172273871,94.59825134277344
2015-07-10,97.48069981442946,95.59245281336929,97.22321319580078
2015-07-13,98.33898760637786,97.33764492686862,97.62374114990234
2015-07-14,98.58933716582922,97.43779087477333,98.12442779541016
2015-07-15,99.0113205737227,97.64520224737045,98.34613800048828
2015-07-16,98.79675217944056,97.51646849434609,98.0385971069336
2015-07-17,98.04572407272846,96.88702861184079,97.4234619140625
2015-07-20,97.38772724806162,96.59380712944005,96.72970581054688
2015-07-21,97.02293591236476,94.92011694397114,95.44224548339844
2015-07-22,95.89285380404031,94.85574613960979,94.98448944091797
2015-07-23,95.10607514026975,93.85439541419781,94.92011260986328
2015-07-24,94.92012149201318,92.58127008581623,93.02471923828125
2015-07-27,92.74578840959943,91.83027448389602,92.13782501220703
2015-07-28,95.69258853837744,91.91610035464109,94.9988021850586
2015-07-29,96.27192752619061,94.1404988694978,95.94291687011719
2015-07-30,102.9952352758866,100.49187550384003,101.80792999267578
2015-07-31,103.07391641903556,101.15705979996616,101.92951965332031
2015-08-03,105.348398827086,101.50038625987062,104.33991241455078
2015-08-04,105.6845672197513,104.20401602549764,104.4901123046875
2015-08-05,106.25673837557578,103.96794526163005,105.46280670166016
2015-08-06,106.10654462737644,104.79050196082127,105.15526580810547
2015-08-07,105.58442378409312,104.08956209837352,104.56161499023438
2015-08-10,106.11370158087936,105.20534303110135,106.10655212402344
2015-08-11,105.2339403566455,104.01087607253788,104.92638397216797
2015-08-12,104.56164955571204,102.73063303477818,103.98230743408203
2015-08-13,104.73330154837272,103.352878133074,104.23977661132812
2015-08-14,105.19819718194312,104.16108938427352,104.95500946044922
2015-08-17,105.24823841609766,104.30410921030206,104.96929168701172
2015-08-18,105.06944399720507,104.21830470079614,104.44718170166016
2015-08-19,104.21831269477119,103.18121665450246,103.46015167236328
2015-08-20,103.10967890853554,100.33453347177371,100.40605163574219
2015-08-21,100.00550087461967,97.94559639621461,98.33898162841797
2015-08-24,97.70240588079622,89.40556946829662,94.64115905761719
2015-08-25,98.77530629244325,96.32201596088358,96.42214965820312
2015-08-26,99.21160091263971,96.22187726557247,98.55357360839844
2015-08-27,101.11413244051761,98.41051134381176,100.59915924072266
2015-08-28,101.12844519506965,99.43331619647006,100.61347198486328
2015-08-31,100.43467224152047,98.86828624528829,99.79811096191406
2015-09-01,98.36757215871687,96.57230996838403,97.21602630615234
2015-09-02,99.38324737548828,97.5021558104301,99.38324737548828
2015-09-03,100.69214195153552,99.4619281428582,99.84815216064453
2015-09-04,98.75383265410314,96.92996028189822,97.20175170898438
2015-09-08,99.69795187716844,98.17448062112106,99.59782409667969
2015-09-09,100.75653065190568,98.00283352390315,98.14588165283203
2015-09-10,98.80388950497914,96.81550910630088,97.6380386352539
2015-09-11,97.80970349706818,96.59378865274266,97.57367706298828
2015-09-14,97.67381768313496,96.70823401538203,96.90135192871094
2015-09-15,97.3662404246471,96.34344362622889,97.00146484375
2015-09-16,99.27596101262831,96.85128064510013,99.19013214111328
2015-09-17,101.2071190627593,98.39620313158696,99.44046020507812
2015-09-18,98.38190125515577,96.12887876950687,96.27192687988281
2015-09-21,97.35911882917686,95.74266894414548,96.4650650024414
2015-09-22,95.69974084420069,94.00461177444282,94.85575103759766
2015-09-23,95.0917797093965,93.15346301175164,93.32512664794922
2015-09-24,92.99608515009206,91.00055564064728,92.59555053710938
2015-09-25,93.46816513764313,90.83606240664282,91.28666687011719
2015-09-28,90.70016988471123,89.05511072832465,89.58438873291016
2015-09-29,90.79381918728508,89.02286871699394,90.57785034179688
2015-09-30,92.30562035362996,90.70024290133199,91.84488677978516
2015-10-01,93.19109712779095,91.17537583588437,93.06151580810547
2015-10-02,93.9829739194091,91.29774660205062,93.96138000488281
2015-10-05,95.73954365123863,94.60210173203986,95.68914794921875
2015-10-06,96.43783962367735,95.39398130888426,95.5955581665039
2015-10-07,96.75460056062282,94.99084598086307,96.58902740478516
2015-10-08,99.49023651423116,96.78340867219289,99.28146362304688
2015-10-09,101.24679072552546,99.09428608903733,100.75005340576172
2015-10-12,100.87243060838126,99.35343488540641,99.92935180664062
2015-10-13,100.31811918454375,98.4679768460525,99.55502319335938
2015-10-14,100.10932941966226,99.11586090885949,99.72777557373047
2015-10-15,100.78604106414227,99.54780783355892,100.61326599121094
2015-10-16,101.27556411526507,99.33183279155061,99.96534729003906
2015-10-19,99.90055149748265,98.91429084528673,99.36782836914062
2015-10-20,99.9005483558109,98.79190836682848,98.8782958984375
2015-10-21,99.42542896368234,95.58836152320929,97.57528686523438
2015-10-22,99.29585131537874,97.8632489506944,99.22386169433594
2015-10-23,101.43394760328351,99.38223458588179,100.77883911132812
2015-10-26,101.08120169565186,100.46208504248418,100.62046813964844
2015-10-27,100.54845898883731,99.74937136704638,100.23170471191406
2015-10-28,102.32661585294349,100.00853268046514,102.31941986083984
2015-10-29,102.42741277787452,97.7264698302917,98.88550567626953
2015-10-30,100.98040561587335,99.29584269247175,100.05174255371094
2015-11-02,100.77884420575315,99.5406167771956,99.7493896484375
2015-11-03,100.57727230763223,99.13747395234506,99.85737609863281
2015-11-04,100.78604385543755,99.21665835827129,99.48301696777344
2015-11-05,99.80696714431093,97.55368340337144,98.84230041503906
2015-11-06,99.82139075990392,97.90644890734752,99.79259490966797
2015-11-09,99.66301012421174,97.3377303166247,98.1440200805664
2015-11-10,98.59036855182335,97.12176817674809,98.42478942871094
2015-11-11,98.86390112250754,97.85604061770988,98.48235321044922
2015-11-12,97.90645426215913,97.00658092442464,97.40252685546875
2015-11-13,99.84296931861624,96.59622266771495,98.89990234375
2015-11-16,101.0955860749325,98.81350644613869,101.03799438476562
2015-11-17,103.5432663978071,100.11653676133153,100.40449523925781
2015-11-18,100.81484750006045,98.53275572485548,100.37570190429688
2015-11-19,101.05962133013338,99.77819994309861,100.75727081298828
2015-11-20,101.35480636549798,100.10937659679983,100.27495574951172
2015-11-23,101.74352551909769,100.5053038520104,100.91564178466797
2015-11-24,100.8580328106358,99.74219074002737,100.40449523925781
2015-11-25,101.023598145913,99.57659808546478,99.59819793701172
2015-11-27,100.07334751612721,98.83511420392402,99.27425384521484
2015-11-30,99.69897405224832,98.52554048589114,98.54713439941406
2015-12-01,99.5910018699289,97.43130157789703,99.34623718261719
2015-12-02,100.09492999768078,98.36717331209519,99.70619201660156
2015-12-03,100.40449541479748,97.41691135786854,97.7408676147461
2015-12-04,99.79978526369536,97.98563492677476,99.66300201416016
2015-12-07,99.16625600912656,97.99281644572149,98.48954772949219
2015-12-08,98.40316123098526,95.52356489061715,95.72513580322266
2015-12-09,97.46731938264145,95.30042252057532,96.35867309570312
2015-12-10,96.48104174048268,95.04843938394872,95.39398956298828
2015-12-11,94.32133823833612,92.94632762216754,93.9325942993164
2015-12-14,94.11255044887419,92.14722527407193,92.83832550048828
2015-12-15,94.95485149270836,93.52225504956125,94.6668930053711
2015-12-16,95.59557770757124,93.24150199212744,95.17803192138672
2015-12-17,95.6675589656242,93.38547307898652,93.84620666503906
2015-12-18,93.60142911239718,92.003253767638,92.03924560546875
2015-12-21,93.68062959448201,92.27682310208766,93.5510482788086
2015-12-22,95.07005383781213,93.69504296663705,94.7029037475586
2015-12-23,96.00590713548581,95.04124031294945,95.8763198852539
2015-12-24,96.37305910760463,95.5307775358914,95.88352966308594
2015-12-28,95.72514293291636,95.0484345957656,95.45877838134766
2015-12-29,96.99218203831902,95.32201077524425,95.89073181152344
2015-12-30,96.42670680405243,95.5213279229621,95.79656219482422
2015-12-31,95.70241245508657,94.13791673442152,94.23931884765625
2016-01-04,93.63811942329102,92.03740613293768,93.57292938232422
2016-01-05,93.63086756364288,91.19720574692708,91.8997802734375
2016-01-06,90.59606199118193,88.98086227844658,89.66170501708984
2016-01-07,88.89390314422613,86.32262166557443,86.65579986572266
2016-01-08,87.56123275060776,86.06916695447056,86.206787109375
2016-01-11,87.82196904831463,85.93152919250291,86.54718780517578
2016-01-12,87.83644967969889,86.52545646690005,87.7929916381836
2016-01-13,88.61869523895547,85.75045252543775,85.86634063720703
2016-01-14,86.61962441211031,83.75862135384793,85.74321746826172
2016-01-15,85.56939988886755,83.19368094170552,85.3376235961914
2016-01-19,87.01798968426239,84.9826955749588,86.61962127685547
2016-01-20,85.90981851749466,83.03432914617372,85.14929962158203
2016-01-21,86.13433356437952,84.29459787096738,84.8667984008789
2016-01-22,87.41634292880975,85.41726121768725,86.17053985595703
2016-01-25,86.33715610894512,84.12802360853469,84.24391174316406
